title,first_name,last_name,birthday,id_card,nation,race,religion,house_number,village,disticst,city,gender,tell_patient,tell_cousin1,tell_cousin2,tell_cousin3,blood_group,abnormal,allergic_drug,allergic_food,damage_action
Mr.,Nawamin,Thong,01/08/2005,1234567890123,Thai,Thai,-,123,6,kps,Nakhon pathom,M,-,-,-,-,-,-,-,-,-
Mr.,Nawamin,Thong,01/08/2005,1234567890124,Thai,Thai,-,123,6,kps,Nakhon pathom,M,-,-,-,-,-,-,-,-,-
Mr. ,gg,gg,7August2004,1700000000000,Thai,Thai,-,124,9,kps,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,ww,www,3April2004,1700000000001,Thai,Thai,-,126,9,kps,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,hh,hhh,4January2005,1700000000002,Thai,Thai,-,45,4,kps,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,jj,jjj,8January2006,1700000000009,Thai,Thai,-,236,9,y,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,Nawamin,THj,4January2004,0957648322900,Thai,Thai,-,123,3,w,w,Male,-,-,-,-,A,-,-,-,-
Mr. ,Siwat,Thong,1August2005,1300023402021,Thai,Thai,-,124,12,kps,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,Watchrapol,Jujome,6June2005,1034523467890,Thai,Thai,-,45,6,TH,TH,Male,-,-,-,-,B,-,-,-,-
Mr. ,Jujome,ram,5January2025,1234567899876,Thai,Thai,-,186,4,kps,NK,Male,-,-,-,-,A,-,-,-,-
Mr. ,NNN,NNN,31January2004,3409832134567,TH,TH,-,23,4,w,w,Male,-,-,-,-,A,-,-,-,-
Mr. ,www,wwww,31January2005,1232343456789,TH,TH,-,222,22,eee,eee,Male,-,-,-,-,A,-,-,-,-
Mr. ,www,www,3January2001,1999999999999,Thai,Thai,-,34,4,m,b,Male,-,-,-,-,A,-,-,-,-
Mr. ,dd,ddd,3February2003,2090909090909,Thai,Thai,-,128,3,e,e,Male,-,-,-,-,A,-,-,-,-
Mr. ,wwwww,rrrr,2January2000,3939393939393,Thai,Thai,-,32,7,dd,kk,Male,-,-,-,-,A,-,-,-,-
Mr. ,siwat,sinw,4January2000,1212121212121,Thai,Thai,-,454,4,swswe,wweerrf,Male,-,-,-,-,A,-,-,-,-
